shipment_id,origin,destination,transport_mode,shipment_date,planned_delivery_days,actual_delivery_days,month,season,weather_risk_score,customs_complexity_score,port_congestion_level,supplier_reliability_score,delay_days,delay_category,trade_value_usd,commodity_type,is_peak_season,high_customs_risk,high_congestion,unreliable_supplier,route_length_category,composite_risk_score
SH0029,Hamburg,Charleston,Maritime,2024-07-13,13,17,7,Summer,0.33,4.33,0.42,0.818,4,Major Delay,20693.210878425343,Textiles,1,1,0,0,Medium,1.5155
SH0030,Shanghai,Los Angeles,Maritime,2024-01-26,14,14,1,Winter,0.129,1.71,2.58,0.922,0,On-Time,80843.75296250106,Textiles,1,0,1,0,Medium,1.2033000000000003
SH0031,Rotterdam,New York,Maritime,2024-10-20,12,12,10,Fall,0.429,1.5,0.39,0.906,0,On-Time,276706.4435419454,Textiles,0,0,0,0,Medium,0.6567999999999999
SH0032,Frankfurt,Berlin,Rail,2024-04-18,1,5,4,Spring,0.257,4.98,0.83,0.877,4,Major Delay,8728.635945742823,Chemicals,0,1,0,0,Short,1.78365
SH0033,Kolkata,Delhi,Rail,2024-05-16,3,8,5,Spring,0.075,4.45,1.7,0.756,5,Major Delay,5083.051924916061,Textiles,0,1,0,0,Short,1.8359999999999999
SH0034,Shenzhen,Long Beach,Maritime,2024-08-12,16,16,8,Summer,0.172,3.37,0.39,0.862,0,On-Time,890.5146266327664,Machinery,1,0,0,0,Medium,1.1773999999999998
SH0035,Rotterdam,New York,Maritime,2024-01-13,12,12,1,Winter,0.163,3.15,1.58,0.69,0,On-Time,57855.50584271095,Food,1,0,0,1,Medium,1.4501
SH0036,Kolkata,Delhi,Rail,2024-05-16,3,11,5,Spring,0.307,4.9,1.74,0.786,8,Major Delay,3175.7954537977394,Electronics,0,1,0,0,Short,2.0199
SH0037,Frankfurt,Berlin,Rail,2024-05-24,1,1,5,Spring,0.171,1.53,0.99,0.798,0,On-Time,11814.325849754683,Chemicals,0,0,0,0,Short,0.7911999999999999
SH0038,Chennai,Bangalore,Rail,2024-06-05,1,3,6,Summer,0.272,3.52,2.09,0.62,2,Minor Delay,11305.489267466757,Textiles,1,0,1,1,Short,1.7279
SH0039,Hamburg,Charleston,Maritime,2024-10-18,13,13,10,Fall,0.237,1.12,0.34,0.815,0,On-Time,11386.725983867505,Textiles,0,0,0,0,Medium,0.51465
SH0040,Shenzhen,Long Beach,Maritime,2024-05-12,16,20,5,Spring,0.257,0.93,2.72,0.954,4,Major Delay,18239.03980276745,Food,0,0,1,0,Medium,1.0219000000000003
SH0041,Frankfurt,Berlin,Rail,2024-05-16,1,5,5,Spring,0.431,6.85,0.63,0.788,4,Major Delay,70488.7822228438,Electronics,0,1,0,0,Short,2.3516999999999997
SH0042,Shanghai,Los Angeles,Maritime,2024-10-11,14,18,10,Fall,0.416,2.69,5.77,0.842,4,Major Delay,27554.739851480066,Textiles,0,0,1,0,Medium,2.3722
SH0043,Rotterdam,New York,Maritime,2024-09-13,12,18,9,Fall,0.135,7.7,0.2,0.686,6,Major Delay,48613.042661133004,Textiles,0,1,0,1,Medium,2.4655
SH0044,Kolkata,Delhi,Rail,2024-09-11,3,5,9,Fall,0.156,2.75,1.94,0.58,2,Minor Delay,4862.781865966814,Electronics,0,0,0,1,Short,1.4462
SH0045,Chennai,Bangalore,Rail,2024-03-25,1,1,3,Spring,0.031,1.05,0.89,0.918,0,On-Time,306260.4837709285,Machinery,0,0,0,0,Short,0.5641999999999999
SH0046,Mumbai,Felixstowe,Maritime,2024-10-06,18,18,10,Fall,0.398,3.17,1.35,0.908,0,On-Time,10892.629315373913,Chemicals,0,0,0,0,Long,1.3911
SH0047,Paris,Lyon,Rail,2024-01-29,1,1,1,Winter,0.25,3.87,0.81,0.823,0,On-Time,48552.75020372208,Food,1,0,0,0,Short,1.4577499999999999
SH0048,Frankfurt,Berlin,Rail,2024-10-13,1,1,10,Fall,0.221,0.48,0.05,0.787,0,On-Time,29668.392851066612,Machinery,0,0,0,0,Short,0.25395
SH0049,Mumbai,Felixstowe,Maritime,2024-09-23,18,22,9,Fall,0.241,1.43,2.76,0.872,4,Major Delay,2255.732483371006,Electronics,0,0,1,0,Long,1.1992
SH0050,Kolkata,Delhi,Rail,2024-01-17,3,14,1,Winter,0.595,6.58,1.56,0.887,11,Major Delay,23556.340541610396,Electronics,1,1,0,0,Short,2.51125
SH0051,Chennai,Bangalore,Rail,2024-10-08,1,5,10,Fall,0.374,4.62,2.89,0.806,4,Major Delay,23031.87049031352,Food,0,1,1,0,Short,2.2318
SH0052,Kolkata,Delhi,Rail,2024-07-01,3,7,7,Summer,0.724,7.63,0.56,0.991,4,Major Delay,1084421.2200124199,Chemicals,1,1,0,0,Short,2.57605
SH0053,Frankfurt,Berlin,Rail,2024-09-22,1,1,9,Fall,0.153,0.33,0.63,0.898,0,On-Time,43919.44833602995,Electronics,0,0,0,0,Short,0.3126
SH0054,Shanghai,Los Angeles,Maritime,2024-05-19,14,19,5,Spring,0.286,5.86,2.16,0.84,5,Major Delay,11804.061992640072,Machinery,0,1,1,0,Medium,2.3952
SH0055,Hamburg,Charleston,Maritime,2024-09-18,13,18,9,Fall,0.385,5.04,0.74,0.837,5,Major Delay,90954.51723664286,Textiles,0,1,0,0,Medium,1.81475
SH0056,Frankfurt,Berlin,Rail,2024-07-13,1,1,7,Summer,0.25,0.55,1.29,0.812,0,On-Time,30812.69093558769,Food,1,0,0,0,Short,0.5845
SH0057,Hamburg,Charleston,Maritime,2024-07-04,13,13,7,Summer,0.448,3.76,0.28,0.923,0,On-Time,5294.922109372459,Food,1,0,0,0,Medium,1.30685
SH0058,Paris,Lyon,Rail,2024-07-09,1,5,7,Summer,0.108,6.81,1.71,0.616,4,Major Delay,36851.943034178745,Machinery,1,1,0,1,Short,2.5881
SH0059,Kolkata,Delhi,Rail,2024-06-11,3,3,6,Summer,0.265,2.51,1.4,0.821,0,On-Time,8629.483347543812,Electronics,1,0,0,0,Short,1.20075
SH0060,Delhi,Mumbai,Rail,2024-07-11,2,2,7,Summer,0.091,1.96,0.46,0.825,0,On-Time,3507.284690794081,Textiles,1,0,0,0,Short,0.76495
SH0061,Frankfurt,Berlin,Rail,2024-02-08,1,3,2,Winter,0.447,1.79,2.03,0.976,2,Minor Delay,9414.40160296911,Electronics,1,0,1,0,Short,1.1399000000000001
SH0062,Frankfurt,Berlin,Rail,2024-10-06,1,4,10,Fall,0.448,4.08,1.47,0.727,3,Minor Delay,161737.3165209499,Electronics,0,1,0,0,Short,1.74935
SH0063,Chennai,Bangalore,Rail,2024-09-29,1,11,9,Fall,0.064,4.62,0.89,0.478,10,Major Delay,12362.334730300916,Chemicals,0,1,0,1,Short,1.7517999999999998
SH0064,Shenzhen,Long Beach,Maritime,2024-06-09,16,16,6,Summer,0.228,2.73,0.08,0.754,0,On-Time,4474.056783588848,Machinery,1,0,0,0,Medium,0.9460999999999999
SH0065,Rotterdam,New York,Maritime,2024-04-15,12,12,4,Spring,0.377,3.49,2.05,0.854,0,On-Time,112816.1715614905,Chemicals,0,0,1,0,Medium,1.6713999999999998
SH0066,Shenzhen,Long Beach,Maritime,2024-01-22,16,16,1,Winter,0.644,1.92,0.25,0.907,0,On-Time,9957.214508874893,Textiles,1,0,0,0,Medium,0.79055
SH0067,Rotterdam,New York,Maritime,2024-07-29,12,12,7,Summer,0.258,2.71,1.3,0.944,0,On-Time,5696.452439029007,Chemicals,1,0,0,0,Medium,1.2036
SH0068,Kolkata,Delhi,Rail,2024-02-19,3,12,2,Winter,0.212,6.97,0.55,0.721,9,Major Delay,28822.508517998776,Food,1,1,0,0,Short,2.34065
SH0069,Delhi,Mumbai,Rail,2024-02-10,2,11,2,Winter,0.387,7.27,0.5,0.563,9,Major Delay,3399.388737490997,Chemicals,1,1,0,1,Short,2.4926499999999994
SH0070,Kolkata,Delhi,Rail,2024-06-19,3,9,6,Summer,0.189,8.87,0.59,0.637,6,Major Delay,701999.1993597369,Textiles,1,1,0,1,Short,2.9370499999999993
SH0071,Mumbai,Felixstowe,Maritime,2024-06-09,18,18,6,Summer,0.178,3.71,0.61,0.597,0,On-Time,17865.299907805627,Food,1,0,0,1,Long,1.40185
SH0072,Shenzhen,Long Beach,Maritime,2024-08-21,16,16,8,Summer,0.132,2.28,0.29,0.793,0,On-Time,29580.573087489916,Machinery,1,0,0,0,Medium,0.8346499999999999
SH0073,Shanghai,Los Angeles,Maritime,2024-01-26,14,24,1,Winter,0.209,7.08,1.08,0.93,10,Major Delay,34370.10687953729,Textiles,1,1,0,0,Medium,2.4533
SH0074,Delhi,Mumbai,Rail,2024-03-22,2,6,3,Spring,0.16,6.56,0.99,0.961,4,Major Delay,109875.3000221295,Machinery,0,1,0,0,Short,2.2572499999999995
SH0075,Rotterdam,New York,Maritime,2024-09-21,12,13,9,Fall,0.451,0.88,0.76,0.594,1,Minor Delay,52219.06835069161,Textiles,0,0,0,1,Medium,0.6457
SH0076,Chennai,Bangalore,Rail,2024-04-26,1,1,4,Spring,0.197,2.87,0.67,0.931,0,On-Time,4207.466752934997,Textiles,0,0,0,0,Short,1.08515
SH0077,Kolkata,Delhi,Rail,2024-05-23,3,3,5,Spring,0.352,3.58,1.96,0.921,0,On-Time,5748.7395253743925,Food,0,0,0,0,Short,1.65415
SH0078,Paris,Lyon,Rail,2024-02-05,1,1,2,Winter,0.158,1.36,1.02,0.661,0,On-Time,41482.20176361359,Machinery,1,0,0,1,Short,0.7793500000000001
SH0079,Frankfurt,Berlin,Rail,2024-05-04,1,7,5,Spring,0.266,6.93,1.11,0.839,6,Major Delay,42120.46378377554,Textiles,0,1,0,0,Short,2.4499499999999994
SH0080,Chennai,Bangalore,Rail,2024-06-08,1,4,6,Summer,0.068,2.33,1.13,0.542,3,Minor Delay,11863.396581536723,Food,1,0,0,1,Short,1.1096
SH0081,Shenzhen,Long Beach,Maritime,2024-08-19,16,21,8,Summer,0.276,7.32,1.78,0.681,5,Major Delay,8929.977758323206,Chemicals,1,1,0,1,Medium,2.77595
SH0082,Rotterdam,New York,Maritime,2024-04-11,12,19,4,Spring,0.465,4.99,1.17,0.914,7,Major Delay,24882.38156033638,Food,0,1,0,0,Medium,1.9040000000000001
SH0083,Shenzhen,Long Beach,Maritime,2024-09-04,16,16,9,Fall,0.431,3.85,1.75,0.916,0,On-Time,5798.652531104423,Food,0,0,0,0,Medium,1.6997
SH0084,Rotterdam,New York,Maritime,2024-09-05,12,19,9,Fall,0.04,4.44,0.69,0.74,7,Major Delay,3707.56567162112,Machinery,0,1,0,0,Medium,1.5775000000000001
SH0085,Hamburg,Charleston,Maritime,2024-07-24,13,17,7,Summer,0.144,4.72,2.56,0.927,4,Major Delay,47175.80836142448,Chemicals,1,1,1,0,Medium,2.10305
SH0086,Shenzhen,Long Beach,Maritime,2024-05-25,16,16,5,Spring,0.267,2.77,0.83,0.861,0,On-Time,2335.9704707376554,Textiles,0,0,0,0,Medium,1.12665
SH0087,Frankfurt,Berlin,Rail,2024-04-08,1,10,4,Spring,0.483,6.06,0.96,0.64,9,Major Delay,11976.43971850251,Food,0,1,0,1,Short,2.2445999999999997
SH0088,Chennai,Bangalore,Rail,2024-03-02,1,4,3,Spring,0.138,4.45,0.01,0.763,3,Minor Delay,127048.80497039648,Textiles,0,1,0,0,Short,1.42435
SH0089,Frankfurt,Berlin,Rail,2024-08-08,1,1,8,Summer,0.083,2.82,1.55,0.95,0,On-Time,19292.776138511323,Textiles,1,0,0,0,Short,1.2626
SH0090,Chennai,Bangalore,Rail,2024-10-16,1,3,10,Fall,0.6,2.67,2.14,0.796,2,Minor Delay,22360.13474387556,Machinery,0,0,1,0,Short,1.507
SH0091,Shenzhen,Long Beach,Maritime,2024-05-18,16,16,5,Spring,0.281,0.53,0.07,0.792,0,On-Time,7899.930964551906,Electronics,0,0,0,0,Medium,0.2847
SH0092,Rotterdam,New York,Maritime,2024-02-18,12,16,2,Winter,0.395,3.04,2.26,0.822,4,Major Delay,6351.484299153787,Textiles,1,0,1,0,Medium,1.6004999999999998
SH0093,Paris,Lyon,Rail,2024-04-23,1,1,4,Spring,0.344,2.55,1.04,0.91,0,On-Time,17142.523830866314,Food,0,0,0,0,Short,1.1162999999999998
SH0094,Mumbai,Felixstowe,Maritime,2024-05-05,18,28,5,Spring,0.231,5.61,0.79,0.902,10,Major Delay,8659.677039612634,Machinery,0,1,0,0,Long,1.9512
SH0095,Paris,Lyon,Rail,2024-05-23,1,15,5,Spring,0.285,4.3,2.12,0.57,14,Major Delay,229946.83846370335,Machinery,0,1,1,1,Short,1.9844999999999997
SH0096,Kolkata,Delhi,Rail,2024-08-14,3,4,8,Summer,0.118,2.38,2.07,0.886,1,Minor Delay,954183.5810342046,Textiles,1,0,1,0,Short,1.2835999999999999
SH0097,Hamburg,Charleston,Maritime,2024-07-29,13,13,7,Summer,0.144,1.92,0.73,0.775,0,On-Time,19457.326681191764,Textiles,1,0,0,0,Medium,0.84355
SH0098,Frankfurt,Berlin,Rail,2024-04-27,1,1,4,Spring,0.132,1.25,0.53,0.656,0,On-Time,10580.054613130742,Machinery,0,0,0,1,Short,0.6199
SH0099,Hamburg,Charleston,Maritime,2024-04-16,13,23,4,Spring,0.142,5.75,2.82,0.95,10,Major Delay,4926.686055027429,Chemicals,0,1,1,0,Medium,2.4709
SH0100,Kolkata,Delhi,Rail,2024-02-05,3,3,2,Winter,0.233,1.85,0.56,0.698,0,On-Time,26731.480568318068,Textiles,1,0,0,1,Short,0.8171
SH0101,Frankfurt,Berlin,Rail,2024-01-21,1,1,1,Winter,0.382,1.32,1.09,0.764,0,On-Time,2113.6703436852754,Electronics,1,0,0,0,Short,0.8039000000000001
SH0102,Mumbai,Felixstowe,Maritime,2024-01-21,18,27,1,Winter,0.288,5.02,3.58,0.522,9,Major Delay,4410.712332415012,Food,1,1,1,1,Long,2.5780999999999996
SH0103,Mumbai,Felixstowe,Maritime,2024-01-02,18,18,1,Winter,0.245,1.6,0.12,0.869,0,On-Time,72631.74607551012,Food,1,0,0,0,Long,0.59175
SH0104,Delhi,Mumbai,Rail,2024-04-25,2,2,4,Spring,0.42,0.71,0.03,0.894,0,On-Time,5114.474253690844,Chemicals,0,0,0,0,Short,0.33099999999999996
SH0105,Chennai,Bangalore,Rail,2024-03-29,1,1,3,Spring,0.274,1.54,0.1,0.928,0,On-Time,3973.306351611222,Machinery,0,0,0,0,Short,0.5598
SH0106,Paris,Lyon,Rail,2024-09-24,1,11,9,Fall,0.547,7.93,0.71,0.786,10,Major Delay,5520.539690082072,Chemicals,0,1,0,0,Short,2.7194
SH0107,Delhi,Mumbai,Rail,2024-08-10,2,2,8,Summer,0.399,1.71,1.73,0.925,0,On-Time,45508.71437964056,Textiles,1,0,0,0,Short,1.0440500000000001
SH0108,Frankfurt,Berlin,Rail,2024-07-31,1,1,7,Summer,0.218,3.63,0.12,0.88,0,On-Time,6795.026235027831,Textiles,1,0,0,0,Short,1.1926
SH0109,Frankfurt,Berlin,Rail,2024-10-05,1,1,10,Fall,0.265,2.34,1.01,0.912,0,On-Time,12050.963367396991,Textiles,0,0,0,0,Short,1.0295
SH0110,Shenzhen,Long Beach,Maritime,2024-10-20,16,16,10,Fall,0.221,2.17,1.65,0.827,0,On-Time,2118.923902992099,Chemicals,0,0,0,0,Medium,1.15095
SH0111,Mumbai,Felixstowe,Maritime,2024-07-08,18,18,7,Summer,0.104,3.1,0.33,0.697,0,On-Time,83532.75675070377,Chemicals,1,0,0,1,Long,1.1090499999999999
SH0112,Hamburg,Charleston,Maritime,2024-04-29,13,13,4,Spring,0.266,3.58,0.63,0.968,0,On-Time,91625.1785563546,Electronics,0,0,0,0,Medium,1.2927
SH0113,Kolkata,Delhi,Rail,2024-05-06,3,3,5,Spring,0.388,3.64,0.31,0.675,0,On-Time,20033.573402626553,Food,0,0,0,1,Short,1.32835
SH0114,Frankfurt,Berlin,Rail,2024-02-04,1,8,2,Winter,0.068,6.64,0.38,0.909,7,Major Delay,14989.692912460714,Chemicals,1,1,0,0,Short,2.12335
SH0115,Rotterdam,New York,Maritime,2024-06-10,12,12,6,Summer,0.013,2.81,0.93,0.773,0,On-Time,690150.2560153713,Textiles,1,0,0,0,Medium,1.1348500000000001
SH0116,Shenzhen,Long Beach,Maritime,2024-06-25,16,16,6,Summer,0.214,1.74,0.72,0.858,0,On-Time,5829.400737358148,Textiles,1,0,0,0,Medium,0.7802999999999999
SH0117,Chennai,Bangalore,Rail,2024-07-01,1,4,7,Summer,0.31,1.82,0.53,0.593,3,Minor Delay,219034.73792223856,Textiles,1,0,0,1,Short,0.8422500000000002
SH0118,Chennai,Bangalore,Rail,2024-06-06,1,1,6,Summer,0.407,0.29,0.54,0.707,0,On-Time,17112.04103966735,Electronics,1,0,0,0,Short,0.37665000000000004
SH0119,Paris,Lyon,Rail,2024-09-22,1,5,9,Fall,0.111,4.64,0.76,0.706,4,Major Delay,381323.51688647695,Electronics,0,1,0,0,Short,1.6776999999999997
SH0120,Chennai,Bangalore,Rail,2024-10-20,1,1,10,Fall,0.259,1.44,0.59,0.708,0,On-Time,32548.37613793695,Textiles,0,0,0,0,Short,0.7042999999999999
SH0121,Paris,Lyon,Rail,2024-04-27,1,1,4,Spring,0.31,1.22,0.42,0.804,0,On-Time,17291.73088211213,Textiles,0,0,0,0,Short,0.5820000000000001
SH0122,Shanghai,Los Angeles,Maritime,2024-10-20,14,15,10,Fall,0.189,1.45,3.58,0.826,1,Minor Delay,41244.81214623093,Textiles,0,0,1,0,Medium,1.4113
SH0123,Paris,Lyon,Rail,2024-02-20,1,1,2,Winter,0.061,3.1,0.92,0.844,0,On-Time,43112.80745661047,Chemicals,1,0,0,0,Short,1.2111999999999998
SH0124,Mumbai,Felixstowe,Maritime,2024-06-13,18,20,6,Summer,0.818,2.34,1.23,0.647,2,Minor Delay,25035.00759981774,Food,1,0,0,1,Long,1.2613499999999997
SH0125,Hamburg,Charleston,Maritime,2024-04-20,13,13,4,Spring,0.153,1.29,0.62,0.73,0,On-Time,19399.861138710192,Textiles,0,0,0,0,Medium,0.6401
SH0126,Mumbai,Felixstowe,Maritime,2024-09-23,18,18,9,Fall,0.412,1.87,0.63,0.913,0,On-Time,23001.474112918564,Machinery,0,0,0,0,Long,0.8226500000000001
SH0127,Shenzhen,Long Beach,Maritime,2024-04-11,16,19,4,Spring,0.533,2.79,2.25,0.612,3,Minor Delay,3816.8605876510615,Food,0,0,1,1,Medium,1.6031
SH0128,Shanghai,Los Angeles,Maritime,2024-08-12,14,23,8,Summer,0.172,11.37,1.18,0.909,9,Major Delay,2781.019185024495,Electronics,1,1,0,0,Medium,3.7631499999999996
SH0129,Hamburg,Charleston,Maritime,2024-01-19,13,15,1,Winter,0.277,4.69,1.2,0.667,2,Minor Delay,7752.506284029538,Textiles,1,1,0,1,Medium,1.8456500000000002
SH0130,Rotterdam,New York,Maritime,2024-02-14,12,25,2,Winter,0.218,8.68,0.05,0.958,13,Major Delay,7015.749519931533,Electronics,1,1,0,0,Medium,2.6706
SH0131,Chennai,Bangalore,Rail,2024-01-23,1,8,1,Winter,0.167,4.56,0.27,0.865,7,Major Delay,1624.1328011658165,Electronics,1,1,0,0,Short,1.50265
SH0132,Frankfurt,Berlin,Rail,2024-08-28,1,1,8,Summer,0.173,1.57,0.45,0.909,0,On-Time,81763.3003606465,Textiles,1,0,0,0,Short,0.6408499999999999
SH0133,Hamburg,Charleston,Maritime,2024-06-25,13,13,6,Summer,0.374,3.54,1.86,0.84,0,On-Time,8840.69587115824,Food,1,0,0,0,Medium,1.6418000000000001
SH0134,Shanghai,Los Angeles,Maritime,2024-01-24,14,16,1,Winter,0.08,2.33,3.14,0.951,2,Minor Delay,703.2613385378321,Electronics,1,0,1,0,Medium,1.51225
SH0135,Rotterdam,New York,Maritime,2024-08-16,12,20,8,Summer,0.284,6.8,1.13,0.894,8,Major Delay,11767.005433744207,Electronics,1,1,0,0,Medium,2.4057999999999997
SH0136,Shanghai,Los Angeles,Maritime,2024-04-27,14,17,4,Spring,0.186,4.14,1.24,0.729,3,Minor Delay,14570.213672192469,Electronics,0,1,0,0,Medium,1.6569499999999997
SH0137,Shenzhen,Long Beach,Maritime,2024-04-28,16,18,4,Spring,0.302,5.39,0.31,0.742,2,Minor Delay,7234.783536719023,Textiles,0,1,0,0,Medium,1.8193999999999997
SH0138,Mumbai,Felixstowe,Maritime,2024-05-14,18,18,5,Spring,0.249,0.72,0.17,0.827,0,On-Time,27581.416372731852,Food,0,0,0,0,Long,0.35155
SH0139,Chennai,Bangalore,Rail,2024-08-05,1,13,8,Summer,0.284,7.91,1.5,0.808,12,Major Delay,193260.08552951578,Electronics,1,1,0,0,Short,2.8528
SH0140,Rotterdam,New York,Maritime,2024-10-08,12,12,10,Fall,0.069,0.67,1.14,0.731,0,On-Time,8721.487488584997,Machinery,0,0,0,0,Medium,0.56705
SH0141,Hamburg,Charleston,Maritime,2024-01-06,13,13,1,Winter,0.093,2.34,0.22,0.845,0,On-Time,36234.45696260317,Electronics,1,0,0,0,Medium,0.8143499999999999
SH0142,Rotterdam,New York,Maritime,2024-01-19,12,21,1,Winter,0.237,4.91,1.2,0.744,9,Major Delay,13675.061075499525,Chemicals,1,1,0,0,Medium,1.8844
SH0143,Paris,Lyon,Rail,2024-09-11,1,1,9,Fall,0.078,2.26,0.03,0.91,0,On-Time,36625.15315305009,Textiles,0,0,0,0,Short,0.7235999999999998
SH0144,Rotterdam,New York,Maritime,2024-05-08,12,12,5,Spring,0.189,3.6,1.55,0.979,0,On-Time,84027.21449592788,Machinery,0,0,0,0,Medium,1.51055
SH0145,Shanghai,Los Angeles,Maritime,2024-02-27,14,14,2,Winter,0.114,1.24,1.27,0.975,0,On-Time,7027.112359822757,Food,1,0,0,0,Medium,0.7185499999999999
SH0146,Chennai,Bangalore,Rail,2024-06-02,1,1,6,Summer,0.171,0.82,0.21,0.861,0,On-Time,42865.40397080653,Chemicals,1,0,0,0,Short,0.36744999999999994
SH0147,Paris,Lyon,Rail,2024-09-27,1,1,9,Fall,0.174,1.92,0.72,0.888,0,On-Time,59829.198990756966,Electronics,0,0,0,0,Short,0.8188
SH0148,Frankfurt,Berlin,Rail,2024-09-05,1,8,9,Fall,0.289,6.62,0.21,0.71,7,Major Delay,163856.5340295239,Chemicals,0,1,0,0,Short,2.1688
